State,NPark,NMonument,NPreserve,NHPark,NHSite,IHSite,NBPark,NMPark,NB,NBSite,NMemorial,NRArea,NSeashore,NLakeshore,NRiver,NReserve,NParkway,NTrail,Other
Alabama,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Alaska,8,3,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Samoa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,3,13,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Arkansas,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0
California,9,7,1,2,4,0,0,0,0,0,1,3,1,0,0,0,0,0,0
Colorado,4,5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Connecticut,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Delaware,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,3,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Georgia,0,3,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0
Guam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Illinois,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Iowa,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Louisiana,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maine,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Maryland,0,1,0,2,3,0,0,0,2,0,0,0,1,0,0,0,1,2,4
Massachusetts,0,0,0,6,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Michigan,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Minnesota,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mississippi,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0
Missouri,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Montana,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Nebraska,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nevada,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
New Jersey,0,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
New Mexico,1,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,6,0,3,8,0,0,0,0,0,3,1,1,0,0,0,0,1,0
North Carolina,1,0,0,0,2,0,0,1,1,0,1,0,2,0,0,0,1,1,0
North Dakota,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,1,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oregon,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,3,6,0,0,1,1,0,3,1,0,0,2,0,0,2,0
Puerto Rico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
South Carolina,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
South Dakota,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Tennessee,1,0,0,2,1,0,0,2,2,0,0,0,0,0,2,0,1,2,0
Texas,2,2,1,3,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0
Utah,5,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vermont,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Virgin Islands,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,1,3,0,4,1,0,2,1,1,0,1,0,1,0,0,0,2,1,2
Washington,3,0,0,4,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0
Washington DC,0,1,0,1,5,0,0,0,0,0,11,0,0,0,0,0,1,0,5
West Virginia,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Wyoming,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0